date,year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,arr_cancelled,arr_diverted,total_delay,delay_ratio,cancel_ratio
2024-01-01,2024,1,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",80,16,0,2,1071.0,0.2,0.0
2024-01-01,2024,1,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",3,0,0,0,0.0,0.0,0.0
2024-01-01,2024,1,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",62,9,2,2,589.0,0.14516129032258066,0.03225806451612903
2024-01-01,2024,1,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",74,15,1,0,1285.0,0.20270270270270271,0.013513513513513514
2024-01-01,2024,1,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",101,23,5,0,1372.0,0.22772277227722773,0.04950495049504951
2024-01-01,2024,1,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2511,621,68,12,62759.0,0.24731182795698925,0.027080844285145362
2024-01-01,2024,1,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",20,1,0,0,84.0,0.05,0.0
2024-01-01,2024,1,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",47,15,1,1,791.0,0.3191489361702128,0.02127659574468085
2024-01-01,2024,1,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",48,9,0,0,391.0,0.1875,0.0
2024-01-01,2024,1,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",13,2,0,0,48.0,0.15384615384615385,0.0
2024-01-01,2024,1,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",53,12,3,0,741.0,0.22641509433962265,0.05660377358490566
2024-01-01,2024,1,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",32,9,5,0,1306.0,0.28125,0.15625
2024-01-01,2024,1,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",88,19,7,0,1802.0,0.2159090909090909,0.07954545454545454
2024-01-01,2024,1,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",105,25,7,1,1638.0,0.23809523809523808,0.06666666666666667
2024-01-01,2024,1,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",62,17,2,1,4278.0,0.27419354838709675,0.03225806451612903
2024-01-01,2024,1,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",81,15,5,0,1399.0,0.18518518518518517,0.06172839506172839
2024-01-01,2024,1,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",7,0,0,0,0.0,0.0,0.0
2024-01-01,2024,1,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",83,25,4,0,2099.0,0.30120481927710846,0.04819277108433735
2024-01-01,2024,1,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",129,33,5,1,3461.0,0.2558139534883721,0.03875968992248062
2024-01-01,2024,1,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",142,27,23,0,2248.0,0.19014084507042253,0.1619718309859155
2024-01-01,2024,1,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",35,7,1,0,953.0,0.2,0.02857142857142857
2024-01-01,2024,1,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",82,21,2,0,1609.0,0.25609756097560976,0.024390243902439025
2024-01-01,2024,1,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field",128,28,3,1,1464.0,0.21875,0.0234375
2024-01-01,2024,1,9E,Endeavor Air Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",151,32,8,0,2433.0,0.2119205298013245,0.052980132450331126
2024-01-01,2024,1,9E,Endeavor Air Inc.,CHS,"Charleston, SC: Charleston AFB/International",146,37,7,0,2858.0,0.2534246575342466,0.04794520547945205
2024-01-01,2024,1,9E,Endeavor Air Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",16,3,0,0,151.0,0.1875,0.0
2024-01-01,2024,1,9E,Endeavor Air Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",224,32,9,0,2574.0,0.14285714285714285,0.04017857142857143
2024-01-01,2024,1,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",257,46,17,0,2778.0,0.17898832684824903,0.06614785992217899
2024-01-01,2024,1,9E,Endeavor Air Inc.,CMH,"Columbus, OH: John Glenn Columbus International",18,1,0,0,30.0,0.05555555555555555,0.0
2024-01-01,2024,1,9E,Endeavor Air Inc.,CRW,"Charleston/Dunbar, WV: West Virginia International Yeager",13,1,0,0,37.0,0.07692307692307693,0.0
2024-01-01,2024,1,9E,Endeavor Air Inc.,CSG,"Columbus, GA: Columbus Airport",2,1,0,0,33.0,0.5,0.0
2024-01-01,2024,1,9E,Endeavor Air Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",523,129,13,0,10611.0,0.24665391969407266,0.0248565965583174
2024-01-01,2024,1,9E,Endeavor Air Inc.,CWA,"Mosinee, WI: Central Wisconsin",62,10,2,0,1567.0,0.16129032258064516,0.03225806451612903
2024-01-01,2024,1,9E,Endeavor Air Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",47,9,0,0,799.0,0.19148936170212766,0.0
2024-01-01,2024,1,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",156,35,8,0,2134.0,0.22435897435897437,0.05128205128205128
2024-01-01,2024,1,9E,Endeavor Air Inc.,DHN,"Dothan, AL: Dothan Regional",62,18,0,0,2696.0,0.2903225806451613,0.0
2024-01-01,2024,1,9E,Endeavor Air Inc.,DSM,"Des Moines, IA: Des Moines International",201,56,9,0,4941.0,0.27860696517412936,0.04477611940298507
2024-01-01,2024,1,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",1201,260,33,3,19739.0,0.21648626144879268,0.027477102414654453
2024-01-01,2024,1,9E,Endeavor Air Inc.,ECP,"Panama City, FL: Northwest Florida Beaches International",24,11,0,1,723.0,0.4583333333333333,0.0
2024-01-01,2024,1,9E,Endeavor Air Inc.,EVV,"Evansville, IN: Evansville Regional",69,14,2,0,1539.0,0.2028985507246377,0.028985507246376812
2024-01-01,2024,1,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",122,31,2,0,2387.0,0.2540983606557377,0.01639344262295082
2024-01-01,2024,1,9E,Endeavor Air Inc.,EYW,"Key West, FL: Key West International",34,13,0,0,2476.0,0.38235294117647056,0.0
2024-01-01,2024,1,9E,Endeavor Air Inc.,FAR,"Fargo, ND: Hector International",52,9,0,0,820.0,0.17307692307692307,0.0
2024-01-01,2024,1,9E,Endeavor Air Inc.,FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field",22,3,0,0,247.0,0.13636363636363635,0.0
2024-01-01,2024,1,9E,Endeavor Air Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",14,6,0,0,232.0,0.42857142857142855,0.0
2024-01-01,2024,1,9E,Endeavor Air Inc.,FSD,"Sioux Falls, SD: Joe Foss Field",43,8,1,0,448.0,0.18604651162790697,0.023255813953488372
2024-01-01,2024,1,9E,Endeavor Air Inc.,FWA,"Fort Wayne, IN: Fort Wayne International",94,21,8,0,3126.0,0.22340425531914893,0.0851063829787234
2024-01-01,2024,1,9E,Endeavor Air Inc.,GFK,"Grand Forks, ND: Grand Forks International",41,8,0,0,494.0,0.1951219512195122,0.0
2024-01-01,2024,1,9E,Endeavor Air Inc.,GNV,"Gainesville, FL: Gainesville Regional",18,7,0,0,183.0,0.3888888888888889,0.0
2024-01-01,2024,1,9E,Endeavor Air Inc.,GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",11,2,0,0,75.0,0.18181818181818182,0.0
2024-01-01,2024,1,9E,Endeavor Air Inc.,GRB,"Green Bay, WI: Green Bay Austin Straubel International",26,0,0,0,0.0,0.0,0.0
2024-01-01,2024,1,9E,Endeavor Air Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",91,26,8,0,3270.0,0.2857142857142857,0.08791208791208792
2024-01-01,2024,1,9E,Endeavor Air Inc.,GSO,"Greensboro/High Point, NC: Piedmont Triad International",127,26,5,0,1622.0,0.2047244094488189,0.03937007874015748
2024-01-01,2024,1,9E,Endeavor Air Inc.,GSP,"Greer, SC: Greenville-Spartanburg International",97,24,5,3,2231.0,0.24742268041237114,0.05154639175257732
